donor,recipient,value
Australia,Brazil,10843457
Australia,Chile,11512013
Australia,Colombia,10565816
Australia,India,982075862
Australia,Korea,7599604
Australia,Poland,3046
Australia,Saudi Arabia,7575
Australia,South Africa,240893012
Australia,Thailand,1162746092
Austria,Brazil,52226511
Austria,Chile,6426788
Austria,Colombia,20231447
Austria,India,162421492
Austria,Korea,111526265
Austria,Kuwait,124190
Austria,Poland,33184327
Austria,Saudi Arabia,2145296
Austria,South Africa,29251443
Austria,Thailand,73958508
Belgium,Brazil,212928735
Belgium,Chile,59867040
Belgium,Colombia,102867692
Belgium,India,561481858
Belgium,Korea,52608
Belgium,Poland,800330632
Belgium,Saudi Arabia,9103
Belgium,South Africa,340304159
Belgium,Thailand,53295601
Canada,Brazil,344019962
Canada,Chile,106773387
Canada,Colombia,671086359
Canada,India,3659444746
Canada,Korea,3865408
Canada,Kuwait,1568
Canada,Poland,1307586093
Canada,Saudi Arabia,16166
Canada,South Africa,370099631
Canada,Thailand,836611055
Denmark,Brazil,3184580
Denmark,Chile,33407149
Denmark,Colombia,3146117
Denmark,India,2004368952
Denmark,South Africa,411760384
Denmark,Thailand,489489466
Finland,Brazil,25810862
Finland,Chile,9423678
Finland,Colombia,23761728
Finland,India,182512666
Finland,Poland,12233233
Finland,Saudi Arabia,38710
Finland,South Africa,198796278
Finland,Thailand,126195858
France,Brazil,3297628513
France,Chile,423553789
France,Colombia,1680107102
France,India,4139074370
France,Korea,148847642
France,Kuwait,21944819
France,Poland,2005432347
France,Saudi Arabia,43705887
France,South Africa,1901701859
France,Thailand,1049660923
Germany,Brazil,4063216247
Germany,Chile,1365472828
Germany,Colombia,1238911524
Germany,India,18017983208
Germany,Korea,691327750
Germany,Kuwait,5859569
Germany,Poland,17230746024
Germany,Saudi Arabia,14096654
Germany,South Africa,1784147995
Germany,Thailand,1702275036
Italy,Brazil,1843859410
Italy,Chile,169818458
Italy,Colombia,306112843
Italy,India,1237117872
Italy,Korea,7324360
Italy,Kuwait,327910
Italy,Poland,57102621
Italy,Saudi Arabia,277701
Italy,South Africa,106916806
Italy,Thailand,34627069
Japan,Brazil,10406029105
Japan,Chile,703444054
Japan,Colombia,1414487282
Japan,India,48830067295
Japan,Korea,13029452754
Japan,Kuwait,4397148
Japan,Poland,116688443
Japan,Saudi Arabia,373261027
Japan,South Africa,1176312073
Japan,Thailand,35437690727
Korea,Brazil,204472350
Korea,Chile,43598915
Korea,Colombia,85662550
Korea,India,838979022
Korea,Saudi Arabia,167923
Korea,South Africa,20345015
Korea,Thailand,105821945
Kuwait,India,893157410
Kuwait,Thailand,260887969
Netherlands,Brazil,87040487
Netherlands,Chile,127976174
Netherlands,Colombia,642223602
Netherlands,India,6977708986
Netherlands,Korea,491792
Netherlands,Kuwait,60454
Netherlands,Poland,14269465
Netherlands,Saudi Arabia,227521
Netherlands,South Africa,840526986
Netherlands,Thailand,129993723
Norway,Brazil,1070847764
Norway,Chile,56575551
Norway,Colombia,299650983
Norway,India,2147933250
Norway,Poland,2504790
Norway,Saudi Arabia,195375
Norway,South Africa,689555304
Norway,Thailand,136378534
Saudi Arabia,Brazil,191647004
Saudi Arabia,India,759651342
Saudi Arabia,Korea,134511154
Saudi Arabia,Thailand,156480316
Spain,Brazil,312007477
Spain,Chile,211911806
Spain,Colombia,1066811913
Spain,India,271820536
Spain,Korea,685941
Spain,Kuwait,20232
Spain,Poland,88269401
Spain,Saudi Arabia,14214
Spain,South Africa,19495582
Spain,Thailand,7072193
Sweden,Brazil,26653699
Sweden,Chile,177465428
Sweden,Colombia,309592487
Sweden,India,3827796549
Sweden,Kuwait,11228374
Sweden,Poland,94176270
Sweden,South Africa,1416545325
Sweden,Thailand,184052641
Switzerland,Brazil,95419283
Switzerland,Chile,87963745
Switzerland,Colombia,291509810
Switzerland,India,1839499003
Switzerland,Korea,249214
Switzerland,Poland,3141751
Switzerland,South Africa,273016890
Switzerland,Thailand,143029761
UK,Brazil,713312502
UK,Chile,29636288
UK,Colombia,215435718
UK,India,19921976117
UK,Korea,3243556
UK,Poland,209349961
UK,Saudi Arabia,671150
UK,South Africa,1862114265
UK,Thailand,434207101
US,Brazil,13548341140
US,Chile,3690681030
US,Colombia,17104240812
US,India,16529832819
US,Korea,11154361995
US,Kuwait,7727422143
US,Poland,2508547257
US,Saudi Arabia,4440013519
US,South Africa,6678780430
US,Thailand,6495636611